ip	port	asn_desc
188.17.157.196	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
188.17.158.117	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
188.17.93.62	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
188.18.8.140	8008	ROSTELECOM-AS PJSC Rostelecom. Technical Team
189.203.181.34	1080	TOTAL PLAY TELECOMUNICACIONES SA DE CV
189.203.191.136	1994	TOTAL PLAY TELECOMUNICACIONES SA DE CV
190.0.15.18	5678	UNE EPM TELECOMUNICACIONES S.A.
190.104.1.19	999	Telefonica Celular de Bolivia S.A.
190.104.20.82	8080	Telefonica Celular de Bolivia S.A.
190.104.20.84	8080	Telefonica Celular de Bolivia S.A.
190.104.26.227	33638	Telefonica Celular de Bolivia S.A.
190.109.168.217	8080	UNE EPM TELECOMUNICACIONES S.A.
190.13.147.241	5678	Telefonica del Sur S.A.
190.13.147.93	5678	Telefonica del Sur S.A.
190.136.50.67	3128	Telecom Argentina S.A.
190.144.224.182	44550	Telmex Colombia S.A.
190.145.147.139	999	Telmex Colombia S.A.
190.145.37.2	65409	Telmex Colombia S.A.
190.152.5.17	39888	CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
190.152.8.74	32650	CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
190.195.225.34	8080	Telecom Argentina S.A.
190.195.69.52	3128	Telecom Argentina S.A.
190.214.52.226	53281	CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
190.225.164.15	33333	Telecom Argentina S.A.
190.228.33.42	1085	Telecom Argentina S.A.
190.228.33.44	1085	Telecom Argentina S.A.
190.228.33.45	1085	Telecom Argentina S.A.
190.235.208.94	8080	Telefonica del Peru S.A.A.
190.238.231.65	1994	Telefonica del Peru S.A.A.
190.239.221.226	999	Telefonica del Peru S.A.A.
190.247.93.231	8080	Telecom Argentina S.A.
190.249.169.153	3629	UNE EPM TELECOMUNICACIONES S.A.
190.43.232.207	999	Telefonica del Peru S.A.A.
190.43.92.249	5678	Telefonica del Peru S.A.A.
190.54.100.74	5678	Telmex Chile Internet S.A.
190.54.100.74	8080	Telmex Chile Internet S.A.
190.54.12.74	5678	Telmex Chile Internet S.A.
190.71.229.42	999	UNE EPM TELECOMUNICACIONES S.A.
190.71.24.129	999	UNE EPM TELECOMUNICACIONES S.A.
190.82.105.123	43949	TELEFONICA EMPRESAS CHILE SA
190.85.47.198	4145	Telmex Colombia S.A.
191.103.216.234	8085	UNE EPM TELECOMUNICACIONES S.A.
194.31.33.36	8080	AS-NETIA Warszawa 02-822
195.57.239.25	8080	TELEFONICA_DE_ESPANA
195.87.182.10	9090	BORUSANTELEKOM-AS
197.248.16.109	8080	Safaricom
197.248.18.97	8080	Safaricom
197.248.193.143	8080	Safaricom
197.248.22.110	8105	Safaricom
197.248.86.237	32650	Safaricom
2.60.6.137	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
200.111.182.6	443	ENTEL CHILE S.A.
200.118.122.6	4153	Telmex Colombia S.A.
200.118.71.12	8080	Telmex Colombia S.A.
200.119.110.27	999	ETB - Colombia
200.122.92.211	5678	Telecom Argentina S.A.
200.16.211.68	4153	Telefonica de Argentina
200.4.217.203	999	Telefonica del Peru S.A.A.
200.43.43.121	4145	Telecom Argentina S.A.
200.43.43.126	4145	Telecom Argentina S.A.
200.5.120.198	8080	Telefonica de Argentina
200.54.22.74	80	CTC. CORP S.A. TELEFONICA EMPRESAS
200.54.22.74	8080	CTC. CORP S.A. TELEFONICA EMPRESAS
200.6.185.62	6969	UNE EPM TELECOMUNICACIONES S.A.
200.60.119.131	999	Telefonica del Peru S.A.A.
200.60.119.131	9991	Telefonica del Peru S.A.A.
200.60.132.83	999	Telefonica del Peru S.A.A.
200.76.42.194	999	Alestra, S. de R.L. de C.V.
200.76.42.202	999	Alestra, S. de R.L. de C.V.
201.131.237.163	999	Telecable del Mineral, S. A. de C.V.
201.131.239.233	999	Telecable del Mineral, S. A. de C.V.
201.163.73.93	55443	Alestra, S. de R.L. de C.V.
201.184.239.75	5678	UNE EPM TELECOMUNICACIONES S.A.
201.184.53.180	999	UNE EPM TELECOMUNICACIONES S.A.
201.184.72.178	999	UNE EPM TELECOMUNICACIONES S.A.
201.187.103.18	8080	Telefonica del Sur S.A.
201.217.51.9	4145	COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A.
201.230.15.57	999	Telefonica del Peru S.A.A.
201.244.127.210	8080	ETB - Colombia
201.30.192.149	8080	CLARO S.A.
201.91.82.155	3128	TELEFONICA BRASIL S.A
201.93.159.234	4145	TELEFONICA BRASIL S.A
202.169.58.22	3128	BIZNET2-AS-ID Biznet ISP
202.92.5.136	38915	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
203.142.71.51	8080	BIZNET-AS-AP BIZNET NETWORKS
203.142.77.226	8080	BIZNET-AS-AP BIZNET NETWORKS
203.177.217.222	8082	GLOBE-TELECOM-AS Globe Telecoms
203.210.235.91	5678	VNPT-AS-VN VNPT Corp
203.78.235.132	3128	MCNET NTT SmartConnect Corporation
203.99.145.188	8080	ORANGE2-AS-AP Orange Communication
206.42.59.67	33333	BRISANET SERVICOS DE TELECOMUNICACOES S.A
210.245.51.76	4145	FPT-AS-AP FPT Telecom Company
210.48.237.116	8080	INFOSPHERE NTT PC Communications, Inc.
210.95.145.226	3128	KIXS-AS-KR Korea Telecom
211.209.210.50	1080	SKB-AS SK Broadband Co Ltd
212.115.17.195	9090	BORUSANTELEKOM-AS
212.115.17.196	9090	BORUSANTELEKOM-AS
212.220.113.31	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
212.220.113.31	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
212.23.175.80	8443	SFR-BUSINESS-TEAM SFR Business Team
212.3.132.16	1080	SMOLENSK-AS PJSC Rostelecom. Smolensk branch
212.33.248.45	1080	ER-TELECOM-AS
212.33.248.45	1081	ER-TELECOM-AS
212.33.250.53	1080	ER-TELECOM-AS
212.34.116.58	4145	ROSTELECOM-AS PJSC Rostelecom. Technical Team
212.48.134.145	1080	MEGAFON-AS Moscow, Russia
212.48.150.38	1080	MF-MGSM-AS PJSC MegaFon
212.48.150.38	1081	MF-MGSM-AS PJSC MegaFon
212.55.99.157	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
213.210.67.186	3629	ROSTELECOM-AS PJSC Rostelecom. Technical Team
213.88.12.210	1080	MEGAFON-AS Moscow, Russia
217.52.247.77	1976	ETISALAT-MISR
217.52.247.85	1976	ETISALAT-MISR
218.41.170.110	20000	SO-NET Sony Network Communications Inc.
220.158.232.118	1080	VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
221.133.129.35	1080	SKB-FCABLE-AS SK Broadband Co Ltd
221.133.129.35	1081	SKB-FCABLE-AS SK Broadband Co Ltd
221.157.45.249	80	KIXS-AS-KR Korea Telecom
222.102.194.158	1111	KIXS-AS-KR Korea Telecom
222.127.186.27	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
222.127.206.145	8085	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
222.127.255.21	9999	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
222.252.23.5	8080	VNPT-AS-VN VNPT Corp
223.135.172.52	20000	SO-NET Sony Network Communications Inc.
24.121.213.80	3128	SUDDENLINK-COMMUNICATIONS
24.156.198.241	8080	COGECOWAVE
24.37.245.42	51056	VIDEOTRON
27.130.89.133	8080	AIS-FIBRE-AS-AP AIS Fibre
27.71.248.123	8080	VIETEL-AS-AP Viettel Group
27.72.104.89	8080	VIETEL-AS-AP Viettel Group
27.72.98.89	8443	VIETEL-AS-AP Viettel Group
31.145.154.138	9093	BORUSANTELEKOM-AS
31.161.38.233	8090	KPN KPN National
31.162.168.150	8080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
31.163.202.186	9050	ROSTELECOM-AS PJSC Rostelecom. Technical Team
31.179.162.78	4153	AS9141 P4 Play UPC PL network
31.76.20.131	1080	PLAY2GO-NET
31.77.151.149	8080	PLAY2GO-NET
31.77.151.149	8081	PLAY2GO-NET
36.37.160.242	8080	VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
36.37.244.41	5678	VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
37.232.218.12	1080	MEGAFON-AS Moscow, Russia
38.52.220.165	999	TELECABLE DOMINICANO, S.A.
38.52.222.218	999	TELECABLE DOMINICANO, S.A.
41.65.103.16	1976	ETISALAT-MISR
41.65.160.171	1981	ETISALAT-MISR
41.65.162.72	1976	ETISALAT-MISR
41.65.227.103	1981	ETISALAT-MISR
41.65.236.37	1981	ETISALAT-MISR
41.65.55.10	1976	ETISALAT-MISR
42.116.10.196	443	FPT-AS-AP FPT Telecom Company
42.116.10.196	8080	FPT-AS-AP FPT Telecom Company
42.116.10.198	443	FPT-AS-AP FPT Telecom Company
42.116.10.198	8080	FPT-AS-AP FPT Telecom Company
45.133.251.223	1080	PLAY2GO-NET
45.133.251.223	1081	PLAY2GO-NET
45.4.192.225	8080	Orbitel Telecomunicacoes e Informatica Ltda
45.73.0.118	5678	VIDEOTRON
45.84.222.220	8080	PLAY2GO-NET
46.146.210.123	1080	ER-TELECOM-AS
46.146.210.123	1081	ER-TELECOM-AS
46.146.220.247	1080	ER-TELECOM-AS
46.146.242.142	1080	ER-TELECOM-AS
46.146.242.142	1081	ER-TELECOM-AS
46.241.57.29	1080	ZSTTKAS Novosibirsk, Russia
46.241.57.29	1081	ZSTTKAS Novosibirsk, Russia
46.50.144.9	8080	ZSTTKAS Novosibirsk, Russia
49.0.88.27	8080	AIS-FIBRE-AS-AP AIS Fibre
49.254.32.54	8001	KIXS-AS-KR Korea Telecom
5.140.110.96	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
5.141.29.96	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
5.8.204.148	7080	TTK-RTL Retail
50.201.133.122	3366	COMCAST-7922
50.204.36.138	60808	COMCAST-7922
50.222.120.243	1080	COMCAST-7922
50.231.0.43	4481	COMCAST-7922
50.232.250.157	8080	COMCAST-7922
50.235.92.65	32100	COMCAST-7922
50.236.148.246	31699	COMCAST-7922
50.236.148.254	31699	COMCAST-7922
50.238.47.86	32100	COMCAST-7922
50.250.75.153	39593	COMCAST-20214
58.136.251.135	8080	AIS-FIBRE-AS-AP AIS Fibre
58.136.4.57	8080	AIS-FIBRE-AS-AP AIS Fibre
58.187.104.62	1062	FPT-AS-AP FPT Telecom Company
58.187.104.62	1080	FPT-AS-AP FPT Telecom Company
58.187.104.62	1081	FPT-AS-AP FPT Telecom Company
58.187.104.62	1082	FPT-AS-AP FPT Telecom Company
58.187.104.62	1083	FPT-AS-AP FPT Telecom Company
58.187.104.62	1084	FPT-AS-AP FPT Telecom Company
58.187.104.62	1085	FPT-AS-AP FPT Telecom Company
58.187.104.62	1088	FPT-AS-AP FPT Telecom Company
58.187.104.62	1089	FPT-AS-AP FPT Telecom Company
58.187.104.62	1090	FPT-AS-AP FPT Telecom Company
58.187.104.62	1111	FPT-AS-AP FPT Telecom Company
58.187.104.62	1117	FPT-AS-AP FPT Telecom Company
58.187.192.47	1080	FPT-AS-AP FPT Telecom Company
61.7.137.128	8080	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
61.7.146.7	80	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
61.7.146.7	8082	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
61.7.147.227	4145	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
62.148.236.156	10808	ROSTELECOM-AS PJSC Rostelecom. Technical Team
62.193.104.26	1976	ETISALAT-MISR
62.193.104.26	1981	ETISALAT-MISR
62.193.108.138	1976	ETISALAT-MISR
62.193.108.140	1981	ETISALAT-MISR
62.49.2.157	80	Vodafone
63.239.220.5	8080	CENTURYLINK-US-LEGACY-QWEST
64.188.64.135	1080	PLAY2GO-NET
64.188.64.135	1081	PLAY2GO-NET
66.96.234.140	3129	MYREPUBLIC-AS-ID PT. Eka Mas Republik
73.162.86.230	43	COMCAST-7922
73.162.86.230	443	COMCAST-7922
73.162.86.230	3128	COMCAST-7922
73.162.86.230	3129	COMCAST-7922
73.162.86.230	8080	COMCAST-7922
73.162.86.230	8181	COMCAST-7922
73.162.86.230	8194	COMCAST-7922
73.162.86.230	8195	COMCAST-7922
75.109.158.112	8089	SUDDENLINK-COMMUNICATIONS
77.225.177.14	10801	VODAFONE_ES
77.34.77.154	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
77.34.77.154	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
77.34.77.97	4145	ROSTELECOM-AS PJSC Rostelecom. Technical Team
77.51.181.20	1080	CTCNET-AS PJSC Rostelecom. Moscow branch
77.51.182.67	1080	CTCNET-AS PJSC Rostelecom. Moscow branch
77.51.9.150	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
77.61.172.158	8090	KPN KPN National
78.29.88.223	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
78.29.88.223	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
78.37.113.29	5555	ROSTELECOM-AS PJSC Rostelecom. Technical Team
78.37.45.233	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
78.63.115.20	8899	TELIA-LIETUVA
79.111.118.99	1080	MEGAFON-AS Moscow, Russia
79.111.13.155	50625	MEGAFON-AS Moscow, Russia
80.78.74.8	65530	VODAFONE-FIX-AS Tirana, Albania
80.78.78.106	65530	VODAFONE-FIX-AS Tirana, Albania
81.12.157.98	5678	VODAFONE_RO Charles de Gaulle nr.15
81.12.169.254	4153	VODAFONE_RO Charles de Gaulle nr.15
81.225.76.66	1080	TELIANET-SWEDEN Telia Company
81.236.184.63	1080	TELIANET-SWEDEN Telia Company
82.130.202.219	43429	EUSKALTEL
82.200.80.118	8080	ZSTTKAS Novosibirsk, Russia
83.171.114.92	45822	ROSTELECOM-AS PJSC Rostelecom. Technical Team
83.219.1.130	5678	ROSTELECOM-AS PJSC Rostelecom. Technical Team
83.221.222.194	1080	ROSTOV-TELEGRAF-AS PJSC Rostelecom. Rostov-na-Dony branch
83.56.15.57	5678	TELEFONICA_DE_ESPANA
83.69.2.36	1080	ASN-SEVERTTK
83.69.25.205	1080	ASN-SEVERTTK
84.214.150.146	8080	TELIA-NORWAY-AS Telia Norway Core Networks
84.215.39.64	8118	TELIA-NORWAY-AS Telia Norway Core Networks
84.36.141.180	1981	ETISALAT-MISR
84.42.102.18	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
84.42.19.54	1080	CTCTVER PJSC Rostelecom. Tver branch
84.42.63.113	1080	DEBRYANSK-AS-1 PJSC Rostelecom. Bryansk branch
84.54.217.219	1080	STATEL-AS PJSC Rostelecom. Stavropol branch
85.172.81.216	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
85.172.81.216	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
85.175.232.22	7999	ROSTELECOM-AS PJSC Rostelecom. Technical Team
85.196.179.34	8080	A1BG_RSG A1 EAD
85.228.42.180	4153	TELENOR-SE Telenor Sverige AB
85.236.4.51	8080	ASN-AVANTEL-MSK Located in Moscow, Russia.
85.237.62.189	3629	ROSTELECOM-AS PJSC Rostelecom. Technical Team
85.94.21.103	1081	CTCNET-AS PJSC Rostelecom. Moscow branch
85.95.167.198	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
86.102.226.131	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
87.117.8.64	1080	ROSTOV-TELEGRAF-AS PJSC Rostelecom. Rostov-na-Dony branch
87.225.107.8	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
87.225.108.195	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
88.119.49.4	4153	TELIA-LIETUVA
88.215.162.59	1080	STATEL-AS PJSC Rostelecom. Stavropol branch
89.109.241.183	1081	CTCNET-AS PJSC Rostelecom. Moscow branch
89.109.252.139	8081	CTCNET-AS PJSC Rostelecom. Moscow branch
89.132.170.211	4145	ASN-VODAFONE-
89.151.133.216	8080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
89.151.134.157	3629	ROSTELECOM-AS PJSC Rostelecom. Technical Team
90.150.187.186	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
90.150.187.82	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
90.154.61.187	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
90.8.144.108	3317	France Telecom - Orange
91.105.163.245	1080	ZSTTKAS Novosibirsk, Russia
92.100.221.184	9050	ROSTELECOM-AS PJSC Rostelecom. Technical Team
92.101.193.58	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
92.60.91.130	1080	ASN-AVANTEL-MSK Located in Moscow, Russia.
92.60.91.130	1081	ASN-AVANTEL-MSK Located in Moscow, Russia.
93.41.142.213	8080	FASTWEB
94.112.220.52	8118	VODAFONE-CZ-AS
94.156.114.45	1080	PLAY2GO-NET
94.233.120.194	1080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
95.167.29.50	8080	ROSTELECOM-AS PJSC Rostelecom. Technical Team
95.188.82.147	3629	ROSTELECOM-AS PJSC Rostelecom. Technical Team
95.220.142.90	1080	MEGAFON-AS Moscow, Russia
95.220.199.192	1080	MEGAFON-AS Moscow, Russia
95.220.199.192	1081	MEGAFON-AS Moscow, Russia
95.220.43.30	1080	MEGAFON-AS Moscow, Russia
95.220.69.159	1080	MEGAFON-AS Moscow, Russia
95.220.82.101	1080	MEGAFON-AS Moscow, Russia
95.220.82.101	1081	MEGAFON-AS Moscow, Russia
95.55.250.253	1081	ROSTELECOM-AS PJSC Rostelecom. Technical Team
95.60.60.204	3129	VODAFONE_ES
95.83.152.62	1080	TTK-RTL Retail
95.83.152.62	1081	TTK-RTL Retail
96.36.50.99	39593	CHARTER-20115
96.70.52.227	48324	COMCAST-33491
